id	category	title
13019524	FOOTWEAR	Nike Air Force 1 '07 Premium Men's Shoe
12975096	APPAREL	Nike College Dri-FIT DNA (Kentucky) Men's Shorts
12996080	APPAREL	Nike College Spotlight (West Virginia) Men's Pants
12924152	FOOTWEAR	LeBron 17 Low Basketball Shoe
12924042	FOOTWEAR	LeBron 17 Low Basketball Shoe
12924043	FOOTWEAR	LeBron 17 Low Basketball Shoe
12924040	FOOTWEAR	LeBron 17 Low Basketball Shoe
12845070	FOOTWEAR	LeBron 17 Low Basketball Shoe
12845174	FOOTWEAR	LeBron 17 Low Basketball Shoe
12845172	FOOTWEAR	LeBron 17 Low Basketball Shoe
12845171	FOOTWEAR	LeBron 17 Low Basketball Shoe
12788228	FOOTWEAR	LeBron 17 Low Basketball Shoe
12816432	FOOTWEAR	LeBron 17 Low Tune Squad Basketball Shoe
12959015	APPAREL	Warriors Courtside Women's Nike NBA Tracksuit Pants
13072801	APPAREL	Detroit Pistons City Edition Nike NBA Swingman Jersey
12473420	FOOTWEAR	Nike React Element 55 Men's Shoe
12473421	FOOTWEAR	Nike React Element 55 Men's Shoe
12473417	FOOTWEAR	Nike React Element 55 Men's Shoe
12939133	APPAREL	Nike Sportswear Down-Fill Women's Jacket
10737110	FOOTWEAR	Nike Air Mavin Low Men's Basketball Shoe
10737112	FOOTWEAR	Nike Air Mavin Low Men's Basketball Shoe
12860392	APPAREL	A.S. Roma Vapor Match Away Men's Soccer Jersey
12856532	APPAREL	Portugal 2020 Vapor Match Away Men's Soccer Jersey
12947566	FOOTWEAR	Air Jordan 1 Low SE Men's Shoe
13047587	APPAREL	Memphis Grizzlies City Edition Nike NBA Swingman Jersey
12123212	FOOTWEAR	Nike Kawa Little/Big Kids' Slide
13018126	APPAREL	Boston Celtics Showtime City Edition Men's Nike Therma Flex NBA Hoodie
12850062	FOOTWEAR	Nike Air Vapormax 360 Women's Shoe
12850055	FOOTWEAR	Nike Air Vapormax 360 Women's Shoe
12850047	FOOTWEAR	Nike Air Vapormax 360 Women's Shoe
12951294	FOOTWEAR	Nike Blazer Mid Big Kids' Shoe
13026353	FOOTWEAR	Nike Blazer Mid Suede Big Kids' Shoe
13044330	FOOTWEAR	Nike Blazer Mid Big Kids' Shoe
13026470	FOOTWEAR	Nike Blazer Mid Suede Big Kids' Shoe
13026365	FOOTWEAR	Nike Blazer Mid Big Kids' Shoe
13015879	EQUIPMENT	Nike HyperWarm Academy Soccer Gloves
12849925	FOOTWEAR	Nike Jr. Mercurial Vapor 13 Elite Neymar Jr. FG Kids' Firm-Ground Soccer Cleat
